"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","5881"
"Cow Dung","88"
"Electricity","140"
"Kerosene","666"
"LP Gas","36412"
"Not stated","284"
"Others","269"
"Wood/Firewood","25295"
"Total","69035"
