"Population by Five Years Age Group","Number"
"0-4",""
"Female","9126"
"Male","10319"
"10-14",""
"Female","16528"
"Male","17553"
"15-19",""
"Female","16532"
"Male","17146"
"20-24",""
"Female","16472"
"Male","13862"
"25-29",""
"Female","14688"
"Male","10100"
"30-34",""
"Female","12419"
"Male","9193"
"35-39",""
"Female","10879"
"Male","8573"
"40-44",""
"Female","8694"
"Male","7799"
"45-49",""
"Female","7153"
"Male","6972"
"50-54",""
"Female","5818"
"Male","5979"
"55-59",""
"Female","4351"
"Male","4466"
"5-9",""
"Female","12675"
"Male","13933"
"60-64",""
"Female","3792"
"Male","3630"
"65-69",""
"Female","2972"
"Male","2829"
"70-74",""
"Female","2147"
"Male","2110"
"75+",""
"Female","3410"
"Male","3047"
