"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","102"
"Male","90"
"Chhetri",""
"Female","1693"
"Male","1496"
"Damai/Dholi",""
"Female","142"
"Male","116"
"Gharti/Bhujel",""
"Female","16"
"Male","12"
"Kami",""
"Female","171"
"Male","146"
"Limbu",""
"Female","2262"
"Male","1961"
"Magar",""
"Female","287"
"Male","264"
"Newar",""
"Female","121"
"Male","107"
"Others",""
"Female","23"
"Male","20"
"Rai",""
"Female","1144"
"Male","994"
"Sarki",""
"Female","46"
"Male","36"
"Sunuwar",""
"Female","39"
"Male","29"
"Tamang",""
"Female","774"
"Male","687"
"Yakkha",""
"Female","334"
"Male","307"
