"Population by Mother tongue","Number"
"Bantawa",""
"Female","465"
"Male","403"
"Chamling",""
"Female","90"
"Male","87"
"Khaling",""
"Female","44"
"Male","46"
"Limbu",""
"Female","2223"
"Male","1933"
"Magar",""
"Female","269"
"Male","252"
"Maithili",""
"Female","4"
"Male","8"
"Nachhiring",""
"Female","7"
"Male","11"
"Nepali",""
"Female","2348"
"Male","2053"
"Newar",""
"Female","86"
"Male","73"
"Not Reported",""
"Female","18"
"Male","9"
"Others",""
"Female","26"
"Male","17"
"Rai",""
"Female","332"
"Male","266"
"Sampang",""
"Female","99"
"Male","80"
"Sunuwar",""
"Female","35"
"Male","25"
"Tamang",""
"Female","762"
"Male","681"
"Thulung",""
"Female","15"
"Male","19"
"Yakkha",""
"Female","331"
"Male","302"
