"Population by Five Years Age Group","Number"
"0-4",""
"Female","586"
"Male","679"
"10-14",""
"Female","993"
"Male","1042"
"15-19",""
"Female","937"
"Male","801"
"20-24",""
"Female","636"
"Male","421"
"25-29",""
"Female","493"
"Male","288"
"30-34",""
"Female","387"
"Male","213"
"35-39",""
"Female","385"
"Male","264"
"40-44",""
"Female","412"
"Male","282"
"45-49",""
"Female","374"
"Male","333"
"50-54",""
"Female","288"
"Male","308"
"55-59",""
"Female","199"
"Male","226"
"5-9",""
"Female","851"
"Male","839"
"60-64",""
"Female","203"
"Male","182"
"65-69",""
"Female","158"
"Male","156"
"70-74",""
"Female","126"
"Male","106"
"75+",""
"Female","126"
"Male","160"
