"Population by Five Years Age Group","Number"
"0-4",""
"Female","902"
"Male","943"
"10-14",""
"Female","1544"
"Male","1517"
"15-19",""
"Female","1405"
"Male","1232"
"20-24",""
"Female","1141"
"Male","650"
"25-29",""
"Female","1002"
"Male","438"
"30-34",""
"Female","808"
"Male","407"
"35-39",""
"Female","788"
"Male","394"
"40-44",""
"Female","745"
"Male","417"
"45-49",""
"Female","639"
"Male","440"
"50-54",""
"Female","620"
"Male","558"
"55-59",""
"Female","485"
"Male","436"
"5-9",""
"Female","1184"
"Male","1235"
"60-64",""
"Female","483"
"Male","372"
"65-69",""
"Female","328"
"Male","289"
"70-74",""
"Female","232"
"Male","241"
"75+",""
"Female","310"
"Male","317"
