"Industries Types","Number"
"Accommodation and food","1443"
"Administrative and support service activity","7"
"Agriculture, forestry and fishing","958"
"Art, entertainment and recreation","54"
"Construction","18"
"Education","516"
"Electricty gas and water","43"
"Financial intermediation and insurance","287"
"Health and social work","693"
"Information and communications","20"
"Manufacturing","1207"
"Mining and quarrying","5"
"Other service activities","700"
"Professional,scientific and techniqual activity","91"
"Real state, renting and business activities","1"
"Transport and storage","40"
"Water supply, wet management","82"
"Wholesale and retail trade","4807"
"Total","10972"
