"Population by Five Years Age Group","Number"
"0-4",""
"Female","652"
"Male","729"
"10-14",""
"Female","1222"
"Male","1272"
"15-19",""
"Female","1275"
"Male","1217"
"20-24",""
"Female","1108"
"Male","850"
"25-29",""
"Female","951"
"Male","748"
"30-34",""
"Female","761"
"Male","675"
"35-39",""
"Female","693"
"Male","615"
"40-44",""
"Female","652"
"Male","632"
"45-49",""
"Female","519"
"Male","565"
"50-54",""
"Female","502"
"Male","562"
"55-59",""
"Female","398"
"Male","443"
"5-9",""
"Female","1012"
"Male","995"
"60-64",""
"Female","320"
"Male","378"
"65-69",""
"Female","234"
"Male","259"
"70-74",""
"Female","155"
"Male","205"
"75+",""
"Female","213"
"Male","252"
