"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","69"
"Male","65"
"Brahman - Hill",""
"Female","1895"
"Male","1759"
"Chhetri",""
"Female","9815"
"Male","9155"
"Dalit Others",""
"Female","56"
"Male","58"
"Damai/Dholi",""
"Female","1094"
"Male","986"
"Gurung",""
"Female","88"
"Male","69"
"Kami",""
"Female","3607"
"Male","3336"
"Kumal",""
"Female","107"
"Male","100"
"Magar",""
"Female","249"
"Male","233"
"Majhi",""
"Female","33"
"Male","38"
"Newar",""
"Female","29"
"Male","22"
"Others",""
"Female","23"
"Male","22"
"Sanyasi/Dasnami",""
"Female","928"
"Male","788"
"Sarki",""
"Female","1505"
"Male","1280"
"Terai Others",""
"Female","22"
"Male","19"
"Thakuri",""
"Female","2139"
"Male","1951"
