"Population by Literacy Status","Number"
"Literate",""
"Female","72125"
"Male","85539"
"Not Read/Write",""
"Female","62247"
"Male","33868"
"Not Stated",""
"Female","106"
"Male","81"
"Read Only",""
"Female","4194"
"Male","4133"
