"Agricultural land use area","Hectare"
"Area under arable land","22551.44"
"Area under meadows and pasture","79.77"
"Area under permanent crops","1520.69"
"Area under Temporary crops","21912.25"
"Area under temporary fallow","556.80"
"Area under temporary meadows","82.39"
"Other land","1479.32"
"Ponds","15.83"
"Woodland and forest","979.21"
