"Agricultural land use area","Hectare"
"Area under arable land","24024.93"
"Area under meadows and pasture","213.90"
"Area under permanent crops","411.57"
"Area under Temporary crops","23459.59"
"Area under temporary fallow","478.32"
"Area under temporary meadows","87.02"
"Other land","989.31"
"Ponds","2.13"
"Woodland and forest","1202.80"
