"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","60"
"Cow Dung","1"
"Electricity","99"
"Kerosene","188"
"LP Gas","2065"
"Not stated","142"
"Others","22"
"Wood/Firewood","43081"
"Total","45658"
