"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","60"
"Male","55"
"Brahman - Hill",""
"Female","9198"
"Male","7748"
"Brahman - Tarai",""
"Female","9"
"Male","26"
"Chhetri",""
"Female","33855"
"Male","28019"
"Dalit Others",""
"Female","6"
"Male","7"
"Damai/Dholi",""
"Female","2203"
"Male","1906"
"Dhanuk",""
"Female","7"
"Male","4"
"Ghale",""
"Female","13"
"Male","16"
"Gharti/Bhujel",""
"Female","1393"
"Male","1296"
"Gurung",""
"Female","519"
"Male","450"
"Hajam/Thakur",""
"Female","17"
"Male","26"
"Halwai",""
"Female","4"
"Male","13"
"Jirel",""
"Female","2395"
"Male","2094"
"Kami",""
"Female","4253"
"Male","3671"
"Kathabaniyan",""
"Female","18"
"Male","19"
"Koiri/Kushwaha",""
"Female","12"
"Male","16"
"Magar",""
"Female","1586"
"Male","1380"
"Majhi",""
"Female","214"
"Male","185"
"Musalman",""
"Female","7"
"Male","23"
"Newar",""
"Female","9313"
"Male","8100"
"Others",""
"Female","311"
"Male","304"
"Rai",""
"Female","61"
"Male","59"
"Sanyasi/Dasnami",""
"Female","686"
"Male","636"
"Sarki",""
"Female","2106"
"Male","1913"
"Sherpa",""
"Female","4606"
"Male","4234"
"Sunuwar",""
"Female","1004"
"Male","848"
"Tamang",""
"Female","16692"
"Male","14446"
"Teli",""
"Female","5"
"Male","6"
"Terai Others",""
"Female","20"
"Male","13"
"Thakuri",""
"Female","157"
"Male","142"
"Thami",""
"Female","8567"
"Male","8049"
"Tharu",""
"Female","6"
"Male","9"
"Undefined Others",""
"Female","33"
"Male","23"
"Yadav",""
"Female","9"
"Male","18"
