"Population by Single Year of Age","Number"
"0",""
"Female","1508"
"Male","1524"
"1",""
"Female","1399"
"Male","1468"
"10",""
"Female","2536"
"Male","2627"
"11",""
"Female","2359"
"Male","2246"
"12",""
"Female","2787"
"Male","2960"
"13",""
"Female","2560"
"Male","2555"
"14",""
"Female","2792"
"Male","2659"
"15",""
"Female","2629"
"Male","2415"
"16",""
"Female","2649"
"Male","2404"
"17",""
"Female","2427"
"Male","2119"
"18",""
"Female","2419"
"Male","2015"
"19",""
"Female","1722"
"Male","1374"
"2",""
"Female","1514"
"Male","1509"
"20",""
"Female","1729"
"Male","1224"
"21",""
"Female","1608"
"Male","1120"
"22",""
"Female","1914"
"Male","1194"
"23",""
"Female","1359"
"Male","948"
"24",""
"Female","1481"
"Male","994"
"25",""
"Female","1657"
"Male","1086"
"26",""
"Female","1426"
"Male","986"
"27",""
"Female","1279"
"Male","928"
"28",""
"Female","1443"
"Male","1099"
"29",""
"Female","971"
"Male","720"
"3",""
"Female","1558"
"Male","1608"
"30",""
"Female","1882"
"Male","1184"
"31",""
"Female","889"
"Male","673"
"32",""
"Female","1240"
"Male","887"
"33",""
"Female","823"
"Male","641"
"34",""
"Female","939"
"Male","667"
"35",""
"Female","1679"
"Male","1157"
"36",""
"Female","1096"
"Male","834"
"37",""
"Female","843"
"Male","649"
"38",""
"Female","1048"
"Male","851"
"39",""
"Female","871"
"Male","686"
"4",""
"Female","1819"
"Male","1830"
"40",""
"Female","1955"
"Male","1348"
"41",""
"Female","850"
"Male","719"
"42",""
"Female","1094"
"Male","917"
"43",""
"Female","908"
"Male","661"
"44",""
"Female","844"
"Male","694"
"45",""
"Female","1576"
"Male","1184"
"46",""
"Female","819"
"Male","714"
"47",""
"Female","742"
"Male","640"
"48",""
"Female","1044"
"Male","943"
"49",""
"Female","809"
"Male","759"
"5",""
"Female","1971"
"Male","1967"
"50",""
"Female","1560"
"Male","1352"
"51",""
"Female","749"
"Male","781"
"52",""
"Female","935"
"Male","902"
"53",""
"Female","670"
"Male","636"
"54",""
"Female","609"
"Male","582"
"55",""
"Female","1067"
"Male","966"
"56",""
"Female","678"
"Male","680"
"57",""
"Female","605"
"Male","643"
"58",""
"Female","726"
"Male","766"
"59",""
"Female","584"
"Male","543"
"6",""
"Female","1940"
"Male","2013"
"60",""
"Female","1334"
"Male","1093"
"61",""
"Female","573"
"Male","597"
"62",""
"Female","551"
"Male","506"
"63",""
"Female","469"
"Male","403"
"64",""
"Female","459"
"Male","436"
"65",""
"Female","849"
"Male","742"
"66",""
"Female","453"
"Male","406"
"67",""
"Female","495"
"Male","528"
"68",""
"Female","565"
"Male","623"
"69",""
"Female","322"
"Male","351"
"7",""
"Female","2178"
"Male","2059"
"70",""
"Female","859"
"Male","693"
"71",""
"Female","325"
"Male","293"
"72",""
"Female","463"
"Male","412"
"73",""
"Female","309"
"Male","314"
"74",""
"Female","275"
"Male","265"
"75",""
"Female","497"
"Male","399"
"76",""
"Female","253"
"Male","250"
"77",""
"Female","309"
"Male","244"
"78",""
"Female","354"
"Male","335"
"79",""
"Female","183"
"Male","156"
"8",""
"Female","2218"
"Male","2263"
"80",""
"Female","371"
"Male","243"
"81",""
"Female","124"
"Male","123"
"82",""
"Female","152"
"Male","133"
"83",""
"Female","132"
"Male","138"
"84",""
"Female","144"
"Male","142"
"85",""
"Female","574"
"Male","440"
"9",""
"Female","2174"
"Male","2165"
