"Number of households by type of outer wall","Number"
"BambooWall","5471"
"Cement Bonded Bricks/Stone Wall","1643"
"Mud Bonded Bricks/Stone Wall","580"
"Not Stated about Wall","175"
"Other Type Wall","25"
"Unbaked Bricks","26"
"Wood/Planks","102"
"Total","8022"
