"Industries Employment","Number"
"Accommodation,  food",""
"Female","399"
"Male","383"
"Administrative, support service",""
"Female","3"
"Male","39"
"Agriculture, forestry and  fishing",""
"Female","40"
"Male","269"
"Arts, entertainment, recreation",""
"Female","0"
"Male","3"
"Construction",""
"Female","2"
"Male","6"
"Education",""
"Female","888"
"Male","1936"
"Electricity, gas and water",""
"Female","12"
"Male","65"
"Financial intermediation and insurance",""
"Female","58"
"Male","121"
"Health, social work",""
"Female","153"
"Male","190"
"Information and communication",""
"Female","14"
"Male","28"
"Manufacturing",""
"Female","106"
"Male","316"
"Other service activities",""
"Female","136"
"Male","260"
"Professional, scientific, techniqual activity",""
"Female","5"
"Male","19"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","8"
"Male","35"
"Water supply, wet management",""
"Female","0"
"Male","4"
"Wholesale, retail trade",""
"Female","1341"
"Male","1652"
