"Industries Types","Number"
"Accommodation and food","369"
"Administrative and support service activity","12"
"Agriculture, forestry and fishing","232"
"Art, entertainment and recreation","1"
"Construction","7"
"Education","416"
"Electricty gas and water","16"
"Financial intermediation and insurance","41"
"Health and social work","61"
"Information and communications","6"
"Manufacturing","208"
"Mining and quarrying","1"
"Other service activities","121"
"Professional,scientific and techniqual activity","16"
"Real state, renting and business activities","0"
"Transport and storage","13"
"Water supply, wet management","1"
"Wholesale and retail trade","1795"
"Total","3316"
