"Population by Five Years Age Group","Number"
"0-4",""
"Female","762"
"Male","869"
"10-14",""
"Female","1293"
"Male","1510"
"15-19",""
"Female","1496"
"Male","1659"
"20-24",""
"Female","1566"
"Male","1381"
"25-29",""
"Female","1266"
"Male","1084"
"30-34",""
"Female","1022"
"Male","996"
"35-39",""
"Female","870"
"Male","825"
"40-44",""
"Female","751"
"Male","743"
"45-49",""
"Female","657"
"Male","605"
"50-54",""
"Female","551"
"Male","592"
"55-59",""
"Female","414"
"Male","388"
"5-9",""
"Female","951"
"Male","1106"
"60-64",""
"Female","373"
"Male","354"
"65-69",""
"Female","300"
"Male","285"
"70-74",""
"Female","207"
"Male","193"
"75+",""
"Female","311"
"Male","304"
