"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1782"
"Male","1507"
"","3289"
"Chhetri",""
"Female","321"
"Male","296"
"","617"
"Dalit Others",""
"Female","7"
"Male","7"
"","14"
"Damai/Dholi",""
"Female","259"
"Male","246"
"","505"
"Ghale",""
"Female","162"
"Male","142"
"","304"
"Gharti/Bhujel",""
"Female","120"
"Male","108"
"","228"
"Gurung",""
"Female","2957"
"Male","2437"
"","5394"
"Kami",""
"Female","567"
"Male","546"
"","1113"
"Magar",""
"Female","203"
"Male","175"
"","378"
"Marwadi",""
"Female","6"
"Male","7"
"","13"
"Musalman",""
"Female","11"
"Male","11"
"","22"
"Newar",""
"Female","182"
"Male","139"
"","321"
"Others",""
"Female","24"
"Male","23"
"","47"
"Sanyasi/Dasnami",""
"Female","8"
"Male","6"
"","14"
"Sarki",""
"Female","685"
"Male","591"
"","1276"
"Sherpa",""
"Female","25"
"Male","14"
"","39"
"Tamang",""
"Female","1114"
"Male","901"
"","2015"
"Tharu",""
"Female","4"
"Male","9"
"","13"
