"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","2"
"Cow Dung","4787"
"Electricity Fuel","0"
"KeroseneFuel","95"
"LP Gas","17"
"Not Sated about Fuel","80"
"OthersFuel","3"
"Wood/FireWood","258"
"Total","5242"
