"Agricultural land use area","Hectare"
"Area under arable land","19451.00"
"Area under meadows and pasture","3428.00"
"Area under permanent crops","14950.00"
"Area under Temporary crops","18814.00"
"Area under temporary fallow","518.00"
"Area under temporary meadows","119.00"
"Other land","1433.00"
"Ponds","1.00"
"Woodland and forest","1648.00"
"Total","60362.00"
