"Number of households by type of outer wall","Number"
"BambooWall","1151"
"Cement Bonded Bricks/Stone Wall","4824"
"Mud Bonded Bricks/Stone Wall","58328"
"Not Stated about Wall","228"
"Other Type Wall","29"
"Unbaked Bricks","7"
"Wood/Planks","320"
"Total","64887"
