"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","872"
"Cow Dung","26"
"Electricity","16"
"Kerosene","38"
"LP Gas","749"
"Not stated","41"
"Others","3"
"Wood/Firewood","6799"
"Total","8544"
