"Population by Five Years Age Group","Number"
"0-4",""
"Female","1282"
"Male","1323"
"10-14",""
"Female","1385"
"Male","1392"
"15-19",""
"Female","1045"
"Male","982"
"20-24",""
"Female","967"
"Male","781"
"25-29",""
"Female","917"
"Male","927"
"30-34",""
"Female","915"
"Male","791"
"35-39",""
"Female","733"
"Male","832"
"40-44",""
"Female","609"
"Male","601"
"45-49",""
"Female","513"
"Male","569"
"50-54",""
"Female","402"
"Male","425"
"55-59",""
"Female","355"
"Male","362"
"5-9",""
"Female","1489"
"Male","1543"
"60-64",""
"Female","290"
"Male","308"
"65-69",""
"Female","231"
"Male","260"
"70-74",""
"Female","154"
"Male","154"
"75+",""
"Female","111"
"Male","117"
