"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","814"
"Mud Roof","6"
"Not Sated Roof","108"
"Other Type of Roof","182"
"RCC Roof","620"
"Thatch/Straw Roof","3933"
"Tile/Slate Roof","5998"
"Wood/Planks Roof","56"
"Total","11717"
