"Industries Types","Number"
"Accommodation and food","634"
"Administrative and support service activity","13"
"Agriculture, forestry and fishing","397"
"Art, entertainment and recreation","18"
"Construction","22"
"Education","435"
"Electricty gas and water","25"
"Financial intermediation and insurance","130"
"Health and social work","351"
"Information and communications","10"
"Manufacturing","604"
"Mining and quarrying","2"
"Other service activities","438"
"Professional,scientific and techniqual activity","33"
"Real state, renting and business activities","0"
"Transport and storage","26"
"Water supply, wet management","9"
"Wholesale and retail trade","2891"
"Total","6038"
