"Population by Mother tongue","Number"
"Bantawa",""
"Female","15"
"Male","1"
"","16"
"Chamling",""
"Female","2921"
"Male","2538"
"","5459"
"Magar",""
"Female","571"
"Male","435"
"","1006"
"Majhi",""
"Female","37"
"Male","38"
"","75"
"Nepali",""
"Female","6093"
"Male","5298"
"","11391"
"Newar",""
"Female","327"
"Male","305"
"","632"
"Not Reported",""
"Female","24"
"Male","20"
"","44"
"Others",""
"Female","87"
"Male","84"
"","171"
"Rai",""
"Female","160"
"Male","109"
"","269"
"Sherpa",""
"Female","10"
"Male","13"
"","23"
"Tamang",""
"Female","495"
"Male","438"
"","933"
"Thulung",""
"Female","78"
"Male","78"
"","156"
