"Industries Employment","Number"
"Accommodation,  food",""
"Female","6546"
"Male","6852"
"Administrative, support service",""
"Female","26"
"Male","436"
"Agriculture, forestry and  fishing",""
"Female","1490"
"Male","2834"
"Arts, entertainment, recreation",""
"Female","17"
"Male","80"
"Construction",""
"Female","32"
"Male","282"
"Education",""
"Female","9806"
"Male","18712"
"Electricity, gas and water",""
"Female","46"
"Male","507"
"Financial intermediation and insurance",""
"Female","2965"
"Male","3029"
"Health, social work",""
"Female","3168"
"Male","2829"
"Information and communication",""
"Female","184"
"Male","579"
"Manufacturing",""
"Female","2744"
"Male","7139"
"Other service activities",""
"Female","2402"
"Male","4035"
"Professional, scientific, techniqual activity",""
"Female","118"
"Male","366"
"Real estate, renting and business activity",""
"Female","1"
"Male","7"
"Transportation,  storage",""
"Female","200"
"Male","985"
"Water supply, wet management",""
"Female","95"
"Male","351"
"Wholesale, retail trade",""
"Female","18291"
"Male","21738"
