"Industries Types","Number"
"Accommodation and food","6235"
"Administrative and support service activity","107"
"Agriculture, forestry and fishing","1590"
"Art, entertainment and recreation","46"
"Construction","108"
"Education","3374"
"Electricty gas and water","103"
"Financial intermediation and insurance","706"
"Health and social work","1155"
"Information and communications","88"
"Manufacturing","4428"
"Mining and quarrying","8"
"Other service activities","1607"
"Professional,scientific and techniqual activity","246"
"Real state, renting and business activities","2"
"Transport and storage","197"
"Water supply, wet management","79"
"Wholesale and retail trade","22728"
"Total","42807"
