"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","14"
"Male","88"
"Chhantyal",""
"Female","142"
"Male","101"
"Gurung",""
"Female","44"
"Male","37"
"Hindi",""
"Female","9"
"Male","49"
"Kham",""
"Female","14"
"Male","11"
"Magar",""
"Female","536"
"Male","413"
"Maithili",""
"Female","18"
"Male","56"
"Nepali",""
"Female","17298"
"Male","13806"
"Newar",""
"Female","327"
"Male","312"
"Not Reported",""
"Female","6"
"Male","5"
"Others",""
"Female","9"
"Male","18"
"Rai",""
"Female","3"
"Male","11"
"Sanskrit",""
"Female","17"
"Male","25"
"Sign Language",""
"Female","6"
"Male","8"
"Tamang",""
"Female","7"
"Male","18"
"Thakali",""
"Female","42"
"Male","37"
"Urdu",""
"Female","4"
"Male","7"
