"Population by Single Year of Age","Number"
"0",""
"Female","123"
"Male","105"
"1",""
"Female","160"
"Male","145"
"10",""
"Female","177"
"Male","147"
"11",""
"Female","119"
"Male","115"
"12",""
"Female","160"
"Male","164"
"13",""
"Female","108"
"Male","132"
"14",""
"Female","161"
"Male","148"
"15",""
"Female","130"
"Male","127"
"16",""
"Female","121"
"Male","107"
"17",""
"Female","43"
"Male","47"
"18",""
"Female","183"
"Male","145"
"19",""
"Female","63"
"Male","85"
"2",""
"Female","160"
"Male","186"
"20",""
"Female","156"
"Male","113"
"21",""
"Female","91"
"Male","76"
"22",""
"Female","123"
"Male","94"
"23",""
"Female","65"
"Male","72"
"24",""
"Female","68"
"Male","76"
"25",""
"Female","152"
"Male","99"
"26",""
"Female","55"
"Male","64"
"27",""
"Female","44"
"Male","54"
"28",""
"Female","97"
"Male","90"
"29",""
"Female","29"
"Male","33"
"3",""
"Female","205"
"Male","204"
"30",""
"Female","157"
"Male","86"
"31",""
"Female","27"
"Male","29"
"32",""
"Female","48"
"Male","67"
"33",""
"Female","32"
"Male","40"
"34",""
"Female","14"
"Male","25"
"35",""
"Female","128"
"Male","123"
"36",""
"Female","31"
"Male","37"
"37",""
"Female","19"
"Male","26"
"38",""
"Female","60"
"Male","44"
"39",""
"Female","20"
"Male","23"
"4",""
"Female","176"
"Male","195"
"40",""
"Female","125"
"Male","115"
"41",""
"Female","29"
"Male","32"
"42",""
"Female","43"
"Male","60"
"43",""
"Female","23"
"Male","24"
"44",""
"Female","24"
"Male","18"
"45",""
"Female","116"
"Male","85"
"46",""
"Female","9"
"Male","28"
"47",""
"Female","16"
"Male","16"
"48",""
"Female","38"
"Male","42"
"49",""
"Female","10"
"Male","22"
"5",""
"Female","196"
"Male","199"
"50",""
"Female","90"
"Male","82"
"51",""
"Female","12"
"Male","15"
"52",""
"Female","21"
"Male","31"
"53",""
"Female","12"
"Male","20"
"54",""
"Female","10"
"Male","10"
"55",""
"Female","68"
"Male","50"
"56",""
"Female","9"
"Male","20"
"57",""
"Female","8"
"Male","17"
"58",""
"Female","28"
"Male","34"
"59",""
"Female","14"
"Male","17"
"6",""
"Female","163"
"Male","167"
"60",""
"Female","73"
"Male","72"
"61",""
"Female","20"
"Male","25"
"62",""
"Female","30"
"Male","25"
"63",""
"Female","17"
"Male","15"
"64",""
"Female","10"
"Male","16"
"65",""
"Female","48"
"Male","39"
"66",""
"Female","8"
"Male","11"
"67",""
"Female","5"
"Male","11"
"68",""
"Female","10"
"Male","8"
"69",""
"Female","3"
"Male","4"
"7",""
"Female","152"
"Male","154"
"70",""
"Female","24"
"Male","18"
"71",""
"Female","3"
"Male","10"
"72",""
"Female","5"
"Male","10"
"73",""
"Female","3"
"Male","8"
"74",""
"Female","0"
"Male","3"
"75",""
"Female","9"
"Male","11"
"76",""
"Female","1"
"Male","6"
"77",""
"Female","2"
"Male","2"
"78",""
"Female","2"
"Male","7"
"8",""
"Female","191"
"Male","199"
"80",""
"Female","3"
"Male","5"
"81",""
"Female","1"
"Male","0"
"82",""
"Female","0"
"Male","2"
"83",""
"Female","0"
"Male","1"
"84",""
"Female","0"
"Male","1"
"85",""
"Female","6"
"Male","4"
"9",""
"Female","135"
"Male","129"
