"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","16"
"Cow Dung","4"
"Electricity Fuel","0"
"KeroseneFuel","10"
"LP Gas","108"
"Not Sated about Fuel","65"
"OthersFuel","0"
"Wood/FireWood","6025"
"Total","6228"
