"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","765"
"Male","725"
"","1490"
"Chhetri",""
"Female","750"
"Male","698"
"","1448"
"Damai/Dholi",""
"Female","119"
"Male","103"
"","222"
"Gharti/Bhujel",""
"Female","36"
"Male","22"
"","58"
"Gurung",""
"Female","390"
"Male","368"
"","758"
"Kami",""
"Female","319"
"Male","248"
"","567"
"Limbu",""
"Female","4762"
"Male","4232"
"","8994"
"Magar",""
"Female","866"
"Male","717"
"","1583"
"Newar",""
"Female","9"
"Male","8"
"","17"
"Others",""
"Female","25"
"Male","29"
"","54"
"Rai",""
"Female","2917"
"Male","2640"
"","5557"
"Sanyasi/Dasnami",""
"Female","28"
"Male","22"
"","50"
"Sherpa",""
"Female","58"
"Male","45"
"","103"
"Tamang",""
"Female","479"
"Male","435"
"","914"
"Undefined Others",""
"Female","41"
"Male","28"
"","69"
