"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","5985"
"Male","4332"
"","10317"
"Chhetri",""
"Female","1229"
"Male","877"
"","2106"
"Dalit Others",""
"Female","10"
"Male","5"
"","15"
"Damai/Dholi",""
"Female","691"
"Male","484"
"","1175"
"Gharti/Bhujel",""
"Female","276"
"Male","210"
"","486"
"Gurung",""
"Female","25"
"Male","15"
"","40"
"Kami",""
"Female","1839"
"Male","1242"
"","3081"
"Kumal",""
"Female","657"
"Male","525"
"","1182"
"Magar",""
"Female","3342"
"Male","2579"
"","5921"
"Musalman",""
"Female","330"
"Male","279"
"","609"
"Newar",""
"Female","272"
"Male","162"
"","434"
"Others",""
"Female","36"
"Male","16"
"","52"
"Sarki",""
"Female","550"
"Male","395"
"","945"
"Tamang",""
"Female","11"
"Male","0"
"","11"
"Thakuri",""
"Female","27"
"Male","23"
"","50"
