"Population by Mother tongue","Number"
"Bahing",""
"Female","364"
"Male","318"
"","682"
"Bangla",""
"Female","8"
"Male","14"
"","22"
"Bantawa",""
"Female","6244"
"Male","5477"
"","11721"
"Bhojpuri",""
"Female","315"
"Male","282"
"","597"
"Bhujel",""
"Female","64"
"Male","56"
"","120"
"Bote",""
"Female","52"
"Male","41"
"","93"
"Chamling",""
"Female","10708"
"Male","9422"
"","20130"
"Danuwar",""
"Female","3073"
"Male","2565"
"","5638"
"Dumi",""
"Female","123"
"Male","98"
"","221"
"Gurung",""
"Female","72"
"Male","62"
"","134"
"Hindi",""
"Female","49"
"Male","64"
"","113"
"Jero/Jerung",""
"Female","22"
"Male","20"
"","42"
"Khaling",""
"Female","33"
"Male","33"
"","66"
"Koyee",""
"Female","6"
"Male","7"
"","13"
"Kulung",""
"Female","19"
"Male","20"
"","39"
"Limbu",""
"Female","100"
"Male","88"
"","188"
"Magar",""
"Female","19540"
"Male","17280"
"","36820"
"Maithili",""
"Female","6010"
"Male","6447"
"","12457"
"Majhi",""
"Female","652"
"Male","600"
"","1252"
"Nepali",""
"Female","87108"
"Male","75857"
"","162965"
"Newar",""
"Female","1927"
"Male","1680"
"","3607"
"Not Reported",""
"Female","300"
"Male","281"
"","581"
"Others",""
"Female","373"
"Male","330"
"","703"
"Puma",""
"Female","880"
"Male","740"
"","1620"
"Rai",""
"Female","4526"
"Male","4025"
"","8551"
"Rajsthani",""
"Female","18"
"Male","20"
"","38"
"Sampang",""
"Female","143"
"Male","113"
"","256"
"Sanskrit",""
"Female","26"
"Male","13"
"","39"
"Sherpa",""
"Female","255"
"Male","189"
"","444"
"Sign Language",""
"Female","21"
"Male","29"
"","50"
"Sunuwar",""
"Female","641"
"Male","559"
"","1200"
"Tamang",""
"Female","9884"
"Male","8539"
"","18423"
"Thami",""
"Female","30"
"Male","31"
"","61"
"Tharu",""
"Female","12481"
"Male","10990"
"","23471"
"Thulung",""
"Female","454"
"Male","378"
"","832"
"Tilung",""
"Female","79"
"Male","74"
"","153"
"Uranw/Urau",""
"Female","29"
"Male","19"
"","48"
"Urdu",""
"Female","516"
"Male","546"
"","1062"
"Waling/Walung",""
"Female","7"
"Male","6"
"","13"
"Wambule",""
"Female","495"
"Male","436"
"","931"
"Yakkha",""
"Female","21"
"Male","12"
"","33"
