"Number of households by type of outer wall","Number"
"BambooWall","29662"
"Cement Bonded Bricks/Stone Wall","10528"
"Mud Bonded Bricks/Stone Wall","15906"
"Not Stated about Wall","305"
"Other Type Wall","645"
"Unbaked Bricks","51"
"Wood/Planks","9417"
"Total","66514"
