"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","883"
"Cow Dung","302"
"Electricity Fuel","273"
"KeroseneFuel","324"
"LP Gas","3839"
"Not Sated about Fuel","207"
"OthersFuel","65"
"Wood/FireWood","60621"
"Total","66514"
