"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","18912"
"Mud Roof","82"
"Not Sated Roof","368"
"Other Type of Roof","374"
"RCC Roof","3778"
"Thatch/Straw Roof","25236"
"Tile/Slate Roof","17587"
"Wood/Planks Roof","177"
"Total","66514"
