"Agricultural land use area","Hectare"
"Area under arable land","25795.00"
"Area under meadows and pasture","79.00"
"Area under permanent crops","325.00"
"Area under Temporary crops","25534.00"
"Area under temporary fallow","218.00"
"Area under temporary meadows","43.00"
"Other land","1788.00"
"Ponds","13.00"
"Woodland and forest","163.00"
"Total","53958.00"
