"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","722"
"Cow Dung","7"
"Electricity Fuel","3"
"KeroseneFuel","65"
"LP Gas","4834"
"Not Sated about Fuel","57"
"OthersFuel","35"
"Wood/FireWood","7404"
"Total","13127"
