"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","3943"
"Mud Roof","2"
"Not Sated Roof","100"
"Other Type of Roof","8"
"RCC Roof","2739"
"Thatch/Straw Roof","260"
"Tile/Slate Roof","6924"
"Wood/Planks Roof","8"
"Total","13984"
