"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","579"
"Cow Dung","1"
"Electricity Fuel","6"
"KeroseneFuel","195"
"LP Gas","3387"
"Not Sated about Fuel","36"
"OthersFuel","29"
"Wood/FireWood","9751"
"Total","13984"
