"Number of households by type of outer wall","Number"
"BambooWall","3909"
"Cement Bonded Bricks/Stone Wall","1427"
"Mud Bonded Bricks/Stone Wall","90"
"Not stated","17"
"Others","285"
"Unbaked Bricks","10"
"Wood/Planks","677"
"Total","6415"
