"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","0"
"Cow Dung","3"
"Electricity Fuel","0"
"KeroseneFuel","24"
"LP Gas","0"
"Not Sated about Fuel","11"
"OthersFuel","0"
"Wood/FireWood","3274"
"Total","3312"
