"Number of households by type of outer wall","Number"
"BambooWall","333"
"Cement Bonded Bricks/Stone Wall","5136"
"Mud Bonded Bricks/Stone Wall","54921"
"Not stated","442"
"Others","69"
"Unbaked Bricks","25"
"Wood/Planks","556"
"Total","61482"
