"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","38"
"Male","141"
"Bhujel",""
"Female","10"
"Male","6"
"Chhantyal",""
"Female","710"
"Male","567"
"Gurung",""
"Female","195"
"Male","159"
"Hindi",""
"Female","22"
"Male","37"
"Kham",""
"Female","725"
"Male","577"
"Kumal",""
"Female","129"
"Male","108"
"Magar",""
"Female","8244"
"Male","6377"
"Maithili",""
"Female","21"
"Male","47"
"Nepali",""
"Female","138909"
"Male","107200"
"Newar",""
"Female","667"
"Male","599"
"Not Reported",""
"Female","120"
"Male","94"
"Others",""
"Female","138"
"Male","159"
"Rai",""
"Female","7"
"Male","10"
"Sign Language",""
"Female","5"
"Male","8"
"Tamang",""
"Female","243"
"Male","232"
"Thakali",""
"Female","32"
"Male","30"
"Tharu",""
"Female","6"
"Male","24"
"Urdu",""
"Female","14"
"Male","20"
