"Agricultural land use area","Hectare"
"Area under arable land","18357.57"
"Area under meadows and pasture","3798.74"
"Area under permanent crops","4835.91"
"Area under Temporary crops","17834.31"
"Area under temporary fallow","378.49"
"Area under temporary meadows","144.76"
"Other land","1370.50"
"Ponds","1.58"
"Woodland and forest","2322.29"
