"Number of households by type of outer wall","Number"
"BambooWall","4656"
"Cement Bonded Bricks/Stone Wall","1043"
"Mud Bonded Bricks/Stone Wall","313"
"Not stated","76"
"Others","146"
"Unbaked Bricks","10"
"Wood/Planks","273"
"Total","6517"
