"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","2391"
"Mud Roof","32"
"Not Sated Roof","364"
"Other Type of Roof","114"
"RCC Roof","1240"
"Thatch/Straw Roof","6312"
"Tile/Slate Roof","30907"
"Wood/Planks Roof","23"
"Total","41383"
