"Agricultural land use area","Hectare"
"Area under arable land","15008.00"
"Area under meadows and pasture","91.00"
"Area under permanent crops","270.00"
"Area under Temporary crops","14518.00"
"Area under temporary fallow","445.00"
"Area under temporary meadows","46.00"
"Other land","658.00"
"Ponds","0.00"
"Woodland and forest","355.00"
"Total","31391.00"
