"Number of households by type of outer wall","Number"
"BambooWall","5384"
"Cement Bonded Bricks/Stone Wall","2000"
"Mud Bonded Bricks/Stone Wall","175"
"Not Stated about Wall","159"
"Other Type Wall","37"
"Unbaked Bricks","3"
"Wood/Planks","144"
"Total","7902"
