"Population by Five Years Age Group","Number"
"0-4",""
"Female","2195"
"Male","2272"
"10-14",""
"Female","2490"
"Male","2421"
"15-19",""
"Female","1920"
"Male","1486"
"20-24",""
"Female","1515"
"Male","1132"
"25-29",""
"Female","1303"
"Male","1190"
"30-34",""
"Female","979"
"Male","837"
"35-39",""
"Female","897"
"Male","750"
"40-44",""
"Female","759"
"Male","509"
"45-49",""
"Female","665"
"Male","527"
"50-54",""
"Female","497"
"Male","454"
"55-59",""
"Female","416"
"Male","350"
"5-9",""
"Female","2418"
"Male","2496"
"60-64",""
"Female","502"
"Male","363"
"65-69",""
"Female","467"
"Male","309"
"70-74",""
"Female","403"
"Male","229"
"75+",""
"Female","223"
"Male","217"
