"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1172"
"Male","1113"
"","2285"
"Chhetri",""
"Female","1393"
"Male","1411"
"","2804"
"Dalit Others",""
"Female","37"
"Male","25"
"","62"
"Damai/Dholi",""
"Female","142"
"Male","128"
"","270"
"Danuwar",""
"Female","107"
"Male","111"
"","218"
"Gharti/Bhujel",""
"Female","44"
"Male","34"
"","78"
"Gurung",""
"Female","102"
"Male","87"
"","189"
"Kami",""
"Female","310"
"Male","336"
"","646"
"Magar",""
"Female","21"
"Male","19"
"","40"
"Newar",""
"Female","578"
"Male","534"
"","1112"
"Others",""
"Female","15"
"Male","11"
"","26"
"Sarki",""
"Female","13"
"Male","15"
"","28"
"Sherpa",""
"Female","39"
"Male","36"
"","75"
"Tamang",""
"Female","4974"
"Male","5110"
"","10084"
"Terai Others",""
"Female","8"
"Male","7"
"","15"
