"Population by Mother tongue","Number"
"Bahing",""
"Female","854"
"Male","708"
"Bhujel",""
"Female","14"
"Male","9"
"Dumi",""
"Female","9"
"Male","15"
"Magar",""
"Female","1391"
"Male","1166"
"Maithili",""
"Female","4"
"Male","20"
"Majhi",""
"Female","96"
"Male","85"
"Nepali",""
"Female","4887"
"Male","4136"
"Not Reported",""
"Female","9"
"Male","7"
"Others",""
"Female","23"
"Male","19"
"Rai",""
"Female","196"
"Male","170"
"Sherpa",""
"Female","252"
"Male","227"
"Tamang",""
"Female","257"
"Male","194"
"Thulung",""
"Female","236"
"Male","212"
