"Number of households by type of outer wall","Number"
"BambooWall","779"
"Cement Bonded Bricks/Stone Wall","3964"
"Mud Bonded Bricks/Stone Wall","2977"
"Not Stated about Wall","308"
"Other Type Wall","126"
"Unbaked Bricks","117"
"Wood/Planks","250"
"Total","8521"
