"Population by Five Years Age Group","Number"
"0-4",""
"Female","1279"
"Male","1327"
"10-14",""
"Female","1727"
"Male","1780"
"15-19",""
"Female","1474"
"Male","1282"
"20-24",""
"Female","1123"
"Male","755"
"25-29",""
"Female","901"
"Male","578"
"30-34",""
"Female","708"
"Male","560"
"35-39",""
"Female","651"
"Male","510"
"40-44",""
"Female","612"
"Male","542"
"45-49",""
"Female","503"
"Male","470"
"50-54",""
"Female","433"
"Male","454"
"55-59",""
"Female","324"
"Male","351"
"5-9",""
"Female","1710"
"Male","1704"
"60-64",""
"Female","318"
"Male","306"
"65-69",""
"Female","178"
"Male","234"
"70-74",""
"Female","130"
"Male","158"
"75+",""
"Female","231"
"Male","168"
