"Number of households by type of outer wall","Number"
"BambooWall","718"
"Cement Bonded Bricks/Stone Wall","313"
"Mud Bonded Bricks/Stone Wall","3402"
"Not stated","32"
"Others","111"
"Unbaked Bricks","3"
"Wood/Planks","87"
"Total","4666"
