"Population by Mother tongue","Number"
"Avadhi",""
"Female","5"
"Male","8"
"","13"
"Bangla",""
"Female","4"
"Male","8"
"","12"
"Bhojpuri",""
"Female","1564"
"Male","2321"
"","3885"
"Bhujel",""
"Female","87"
"Male","89"
"","176"
"Bote",""
"Female","727"
"Male","683"
"","1410"
"Chepang",""
"Female","3"
"Male","8"
"","11"
"Darai",""
"Female","512"
"Male","387"
"","899"
"Doteli",""
"Female","36"
"Male","28"
"","64"
"Ghale",""
"Female","8"
"Male","4"
"","12"
"Gurung",""
"Female","3302"
"Male","2655"
"","5957"
"Hindi",""
"Female","146"
"Male","322"
"","468"
"Hyolmo/Yholmo",""
"Female","28"
"Male","19"
"","47"
"Kham",""
"Female","76"
"Male","62"
"","138"
"Khash",""
"Female","647"
"Male","449"
"","1096"
"Kumal",""
"Female","1219"
"Male","1016"
"","2235"
"Limbu",""
"Female","6"
"Male","5"
"","11"
"Magar",""
"Female","42885"
"Male","35305"
"","78190"
"Maithili",""
"Female","605"
"Male","720"
"","1325"
"Majhi",""
"Female","153"
"Male","170"
"","323"
"Nepali",""
"Female","93771"
"Male","78120"
"","171891"
"Newar",""
"Female","2731"
"Male","2311"
"","5042"
"Not Reported",""
"Female","108"
"Male","91"
"","199"
"Others",""
"Female","142"
"Male","147"
"","289"
"Rai",""
"Female","64"
"Male","59"
"","123"
"Sanskrit",""
"Female","7"
"Male","6"
"","13"
"Sherpa",""
"Female","7"
"Male","7"
"","14"
"Sign Language",""
"Female","54"
"Male","69"
"","123"
"Sunuwar",""
"Female","6"
"Male","5"
"","11"
"Tamang",""
"Female","1329"
"Male","1225"
"","2554"
"Tharu",""
"Female","18313"
"Male","15741"
"","34054"
"Uranw/Urau",""
"Female","17"
"Male","28"
"","45"
"Urdu",""
"Female","123"
"Male","116"
"","239"
