"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","4755"
"Cow Dung","52"
"Electricity Fuel","68"
"KeroseneFuel","272"
"LP Gas","13998"
"Not Sated about Fuel","340"
"OthersFuel","82"
"Wood/FireWood","47348"
"Total","66915"
