"Number of households by type of outer wall","Number"
"BambooWall","6089"
"Cement Bonded Bricks/Stone Wall","30358"
"Mud Bonded Bricks/Stone Wall","20564"
"Not Stated about Wall","542"
"Other Type Wall","2453"
"Unbaked Bricks","881"
"Wood/Planks","6028"
"Total","66915"
