"Agricultural land use area","Hectare"
"Area under arable land","18451.00"
"Area under meadows and pasture","40.00"
"Area under permanent crops","1476.00"
"Area under Temporary crops","18238.00"
"Area under temporary fallow","178.00"
"Area under temporary meadows","35.00"
"Other land","1483.00"
"Ponds","11.00"
"Woodland and forest","173.00"
"Total","40085.00"
