"Population by Religion","Number"
"Bahai","2"
"Bon","77"
"Buddism","27219"
"Christianity","8410"
"Hindu","273582"
"Islam","1517"
"Jainism","0"
"Kirat","16"
"Prakriti","328"
"Sikhism","0"
"Undefined","453"
"Total","311604"
