"Population by Mother tongue","Number"
"Bajjika",""
"Female","20864"
"Male","21659"
"Bangla",""
"Female","7"
"Male","11"
"Bhojpuri",""
"Female","1406"
"Male","1442"
"Danuwar",""
"Female","160"
"Male","180"
"Gurung",""
"Female","67"
"Male","46"
"Hindi",""
"Female","27"
"Male","27"
"Magar",""
"Female","542"
"Male","509"
"Maithili",""
"Female","3995"
"Male","4134"
"Majhi",""
"Female","486"
"Male","482"
"Nachhiring",""
"Female","12"
"Male","8"
"Nepali",""
"Female","4689"
"Male","4427"
"Newar",""
"Female","144"
"Male","142"
"Not Reported",""
"Female","120"
"Male","130"
"Others",""
"Female","28"
"Male","12"
"Rai",""
"Female","88"
"Male","74"
"Sunuwar",""
"Female","22"
"Male","24"
"Tamang",""
"Female","696"
"Male","625"
"Tharu",""
"Female","352"
"Male","320"
"Urdu",""
"Female","911"
"Male","954"
